state,agro_zone
Niger,Northern Guinea Savanna
Kaduna,Northern Guinea Savanna
Kwara,Northern Guinea Savanna
Plateau,Northern Guinea Savanna
Nasarawa,Northern Guinea Savanna
Kano,Sudan Savanna
Katsina,Sudan Savanna
Jigawa,Sudan Savanna
Sokoto,Sudan Savanna
Zamfara,Sudan Savanna
Benue,Southern Guinea Savanna
Kogi,Southern Guinea Savanna
Taraba,Southern Guinea Savanna
Adamawa,Southern Guinea Savanna
Oyo,Southern Guinea Savanna
Ogun,Rainforest
Ondo,Rainforest
Osun,Rainforest
Edo,Rainforest
Cross River,Rainforest